
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_17500_8_47d09a                                      
  Mach  =    0.850
  alpha =    2.355    CLtot =    0.186
  beta  =    0.000

  Sref  =   818.00000
  Bref  =    66.42000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0064077085215297     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.926368E-01     0.159534E-01
    0.0003  0.924562E-01     0.159019E-01
    0.0025  0.920949E-01     0.157992E-01
    0.0069  0.913739E-01     0.155955E-01
    0.0136  0.902957E-01     0.152940E-01
    0.0224  0.888641E-01     0.148995E-01
    0.0333  0.870841E-01     0.144183E-01
    0.0464  0.849617E-01     0.138582E-01
    0.0614  0.825044E-01     0.132280E-01
    0.0785  0.797220E-01     0.125380E-01
    0.0974  0.766284E-01     0.117990E-01
    0.1181  0.732523E-01     0.110227E-01
    0.1406  0.696340E-01     0.102212E-01
    0.1635  0.659632E-01     0.944510E-02
    0.1867  0.622395E-01     0.870218E-02
    0.2111  0.583167E-01     0.796500E-02
    0.2368  0.542592E-01     0.724354E-02
    0.2635  0.501461E-01     0.654663E-02
    0.2912  0.460608E-01     0.588158E-02
    0.3197  0.420970E-01     0.525381E-02
    0.3489  0.383551E-01     0.466663E-02
    0.3800  0.347692E-01     0.409586E-02
    0.4128  0.313666E-01     0.354791E-02
    0.4460  0.282256E-01     0.304881E-02
    0.4794  0.253115E-01     0.259752E-02
    0.5129  0.226047E-01     0.219274E-02
    0.5463  0.200927E-01     0.183283E-02
    0.5795  0.177667E-01     0.151574E-02
    0.6123  0.156194E-01     0.123913E-02
    0.6446  0.136444E-01     0.100035E-02
    0.6763  0.118353E-01     0.796530E-03
    0.7073  0.101861E-01     0.624664E-03
    0.7373  0.869006E-02     0.481651E-03
    0.7663  0.734064E-02     0.364374E-03
    0.7941  0.613077E-02     0.269752E-03
    0.8207  0.505318E-02     0.194799E-03
    0.8459  0.410042E-02     0.136662E-03
    0.8695  0.326504E-02     0.926661E-04
    0.8916  0.253991E-02     0.603334E-04
    0.9120  0.191857E-02     0.374055E-04
    0.9306  0.139622E-02     0.218485E-04
    0.9472  0.974830E-03     0.119107E-04
    0.9617  0.646959E-03     0.595014E-05
    0.9743  0.398345E-03     0.262607E-05
    0.9848  0.220108E-03     0.974131E-06
    0.9933  0.103090E-03     0.279023E-06
    0.9997  0.366948E-04     0.524113E-07
    1.0040  0.756265E-05     0.440795E-08
    1.0061  0.438229E-06     0.596064E-10
    1.0064   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
